x,y,nx_in_y,nx_not_in_y,not_nx_in_y,not_nx_not_in_y,oddsr,p,p_adj_bh
[1017]DMPO,α-helix,9,31,45869,88089,0.5575492338278928,0.16208223440515357,0.30479209019614534
[1042]Acetyldeoxyhypusine,unassigned,6,29,22231,111732,1.0398527064568117,1.0,1.0
[1042]Acetyldeoxyhypusine,ß-strand,8,27,23808,110155,1.3709055157307846,0.5715791840805979,0.7578240867585456
[1042]Acetyldeoxyhypusine,α-helix,7,28,45871,88092,0.48010725730853915,0.11020959066266454,0.2364496672398985
[1249]AHA-SS,α-helix,8,8,45870,88112,1.9209069108349683,0.28671484070271763,0.46187510174635743
[1264]pupylation,α-helix,5,11,45873,88109,0.8730526770550314,1.0,1.0
[1270]HCysThiolactone,ß-strand,7,23,23809,110159,1.4081503706125014,0.5769340210483174,0.758531637701409
[1270]HCysThiolactone,α-helix,8,22,45870,88098,0.6984006183482966,0.4954710949514035,0.6798324326077397
[1289]Butyryl,α-helix,4,18,45874,88102,0.426782539613337,0.1730185116405359,0.3202538725267958
[1303]NeuAc,unassigned,8,31,22229,111730,1.2971140576317772,0.6581268566452148,0.8217880326363528
[1303]NeuAc,ß-strand,5,34,23811,110148,0.6802837047632458,0.5486740021626115,0.73572195744532
[1303]NeuAc,α-helix,3,36,45875,88084,0.16000726612170754,0.0008828357409078255,0.008504050402214157
[1304]NeuGc,unassigned,12,22,22225,111739,2.7423417527354537,0.006921842430730621,0.03590230359675663
[1304]NeuGc,ß-strand,2,32,23814,110150,0.2890894011925758,0.11192325152524142,0.23903970461499527
[1304]NeuGc,α-helix,4,30,45874,88090,0.2560346456235195,0.00984518261916174,0.04666442201449279
[1327]SulfurDioxide,α-helix,10,11,45868,88109,1.7462956943640644,0.2880343425102593,0.4624224818532054
[1355]azole,turn,7,44,16017,117930,1.1713548672717056,0.8625084665169336,0.9504343997560081
[1355]azole,unassigned,17,34,22220,111727,2.514108910891089,0.0024831110229500478,0.01953380671387371
[1355]azole,ß-strand,8,43,23808,110139,0.8606761065266316,0.8361777218061451,0.9352509115936032
[1355]azole,α-helix,9,42,45869,88078,0.4114730459102475,0.018781049669117658,0.07266111019527488
[1356]phosphoRibosyl,turn,9,37,16015,117937,1.7912818219405793,0.17286621268428348,0.3202538725267958
[1356]phosphoRibosyl,unassigned,9,37,22228,111724,1.2226069870482323,0.7313134671065253,0.8555342570192349
[1356]phosphoRibosyl,ß-strand,7,39,23809,110143,0.8303270364255706,0.7943432517332258,0.8991127453671046
[1356]phosphoRibosyl,α-helix,9,37,45869,88083,0.4671040265668446,0.05211354495620156,0.14488376746947543
[1363]Crotonyl,turn,10,48,16014,117926,1.534152408309396,0.29933315657112103,0.47893305051379365
[1363]Crotonyl,unassigned,11,47,22226,111714,1.1763623588245318,0.7574361468415448,0.871975271485876
[1363]Crotonyl,ß-strand,17,41,23799,110141,1.9189133792258128,0.03341522180628524,0.10656746413896374
[1363]Crotonyl,α-helix,7,51,45871,88069,0.26351947768272577,0.0006251469514118971,0.006834159829501163
[1367]dHex(1)Hex(1),unassigned,18,20,22219,111741,4.526166794185157,1.0520603855476062e-06,2.7587361221026115e-05
[1367]dHex(1)Hex(1),ß-strand,3,35,23813,110147,0.39647131518798256,0.16729088344084658,0.31209998807936595
[1367]dHex(1)Hex(1),α-helix,5,33,45873,88087,0.29094489463333884,0.010229565719140155,0.047805495241922305
[1375]dHex(1)Hex(2),α-helix,0,25,45878,88095,0.0,0.000680520152513887,0.006834159829501163
[1376]dHex(1)Hex(3),α-helix,6,12,45872,88108,0.9603679804673875,1.0,1.0
[1377]dHex(1)Hex(4),α-helix,1,19,45877,88101,0.10107231808623286,0.011729338309971606,0.052726168402919986
[1387]3-phosphoglyceryl,α-helix,1,18,45877,88102,0.10668865783629172,0.015516289257763065,0.06206515703105226
[1388]HN2_mustard,3₁₀-helix,16,336,6244,127402,0.9716146548305421,1.0,1.0
[1388]HN2_mustard,IDR,6,346,2521,131125,0.9019610990225458,0.9567605475576748,1.0
[1388]HN2_mustard,PPII-helix,8,344,4489,129157,0.6691136473135882,0.32617206302686813,0.5064250452259269
[1388]HN2_mustard,bend,32,320,10594,123052,1.1615253917311685,0.47869861949185477,0.6626697952534363
[1388]HN2_mustard,turn,46,306,15978,117668,1.1070630613826038,0.575271063145111,0.758531637701409
[1388]HN2_mustard,unassigned,65,287,22172,111474,1.1386760210479865,0.38266515728444506,0.5751870828312367
[1388]HN2_mustard,ß-strand,67,285,23749,109897,1.0878535975291295,0.5825095562826195,0.7637347515705456
[1388]HN2_mustard,α-helix,106,246,45772,87874,0.827239502404637,0.11489040982372364,0.24248582344615527
[1389]HN3_mustard,turn,6,36,16018,117938,1.2271403004952761,0.820346514063695,0.9219132253287239
[1389]HN3_mustard,unassigned,6,36,22231,111725,0.8376066453750769,0.8454496773358243,0.9389464651823742
[1389]HN3_mustard,ß-strand,5,37,23811,110145,0.6251085405677821,0.42766790024613455,0.6106082421990912
[1389]HN3_mustard,α-helix,15,27,45863,88093,1.0671032325743095,0.9688380566306175,1.0
[1400]MurNAc,α-helix,5,13,45873,88107,0.7387201118807947,0.7419587270359529,0.8647025164468389
[1412]s-GlcNAc,α-helix,2,14,45876,88106,0.2743606990271913,0.11661924136075688,0.24248582344615527
[1413]PhosphoHex(2),α-helix,0,20,45878,88100,0.0,0.0027764567083829947,0.019621481777112877
[1425]Pentose,turn,2,45,16022,117929,0.32713075077324233,0.16061163505353326,0.30323476698107077
[1425]Pentose,unassigned,16,31,22221,111730,2.5951620887535913,0.002530927707395252,0.019583571768697686
[1425]Pentose,ß-strand,8,39,23808,110143,0.9489850427350427,1.0,1.0
[1425]Pentose,α-helix,10,37,45868,88083,0.5190157891387507,0.08557107126000195,0.20712587504985086
[1426]Hex(1)Pent(1),unassigned,9,24,22228,111737,1.8850717563433508,0.15708230700418868,0.3001734773521338
[1426]Hex(1)Pent(1),ß-strand,4,29,23812,110153,0.6380613657558925,0.5341132955903438,0.7223537980476856
[1426]Hex(1)Pent(1),α-helix,4,29,45874,88091,0.2648664332436825,0.012616780988569169,0.05463413418903346
[1427]Hex(1)HexA(1),α-helix,1,18,45877,88102,0.10668865783629172,0.015516289257763065,0.06206515703105226
